"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
134492,119532,201355,100231,80486.1,159144,28255.5,2.711
112003,110538,189707,137871,124243,159709,22134.1,2.71412
104202,103481,176676,106830,92351.2,158780,23745.6,2.72293
127042,116418,198844,122824,109001,161449,29310.4,2.72589
117241,114858,192502,94945.3,79435.4,158567,44810.6,2.7344
86395.6,90071.1,168315,80495.8,76661.4,145744,14168.1,2.73916
80674.5,82740.4,162128,62988.2,60005.9,144262,22696.5,2.74322
111425,102916,187189,119427,104085,162471,9707.71,2.75832
62692.4,65385.8,152547,50201.7,48543.1,136346,15983.2,2.76264
99060.3,99479.8,177458,66628.3,56719.5,146742,28555.9,2.79311
106580,99204,186455,91223.8,75504.2,152967,26336.1,2.79902
86023.6,88225.5,162696,84448.4,77048.1,148023,15871.3,2.80854
92365.9,97316.7,164800,69192.5,65444.3,146750,15086.5,2.81071
124833,117348,193928,89157,74718.2,158885,27509.7,2.82326
102922,97070.7,176930,90829.6,79034,155151,20388.1,2.82583
159428,141420,211275,128357,101698,162526,50530.2,2.82685
