"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
96626.8,98104.4,172163,67281.5,63243.7,142578,37099.5,1.2212
134719,113141,200190,121334,90188.2,169423,16444,1.22857
79254.2,76516.5,166256,82679.6,73670.7,148478,16887.3,1.23872
121723,108886,192513,98636.6,84833.5,156066,9866.82,1.23891
105800,98058.8,179202,86052.7,72367.5,156046,14607.6,1.23925
94278,93140.3,171898,81937.1,76132.7,144639,15402.3,1.24307
87945.6,83242.3,169730,72486.5,64567.8,148609,17278.8,1.24462
116890,115137,179324,84342.2,73076.7,155235,28403.2,1.24485
141986,129702,199532,127601,103612,167764,31055.3,1.24556
128872,114586,189924,95891.1,73579.4,162308,19236.5,1.24587
97808.9,96613.2,176729,98151.9,84339.9,152227,31183.7,1.25192
109619,108654,186410,86257.7,77887.3,150778,14296.7,1.25382
131098,113536,189965,123307,94200.6,165032,16752.8,1.25642
124606,116474,199574,111662,88917.2,161633,13757.6,1.25757
84621.9,85636.3,161584,57887.3,53528.1,136587,12549.3,1.2654
107786,107631,178921,82340.8,70452.3,153002,24463,1.26689
120988,109994,186739,84613.7,71524.5,151582,36169.2,1.26845
72769,74094.6,159502,56678.2,53735.8,137652,12901.5,1.27075
69348.3,70110.9,153611,97169.7,94090.2,148050,12837.6,1.27097
94611.1,94726.2,175817,69506.1,62747.8,143866,22943.6,1.2748
115918,112855,177350,114750,101769,158497,22858.7,1.27983
113751,105667,183460,86635.1,69662.8,159016,21993.8,1.2891
102302,99745,171958,97813.1,90324.4,152031,26334.3,1.29466
127068,106982,203248,137046,114785,167944,37327.7,1.29827
116285,107322,183025,106407,87814.7,162077,14091.1,1.30619
90839.6,81105.9,172793,93718,85000.3,156233,17766.1,1.30698
79949.4,85679.5,159441,61410.3,59348.7,138976,14690.7,1.31045
106411,99510.4,182055,85843.9,70323,155816,15350,1.31869
92464.7,91243.7,175045,73303.5,67821,144895,8324.38,1.32771
82629.8,84291.9,164851,98571.6,92397.2,151701,26510.4,1.32943
144568,124067,211540,119983,93537.9,179848,29750.1,1.3429
104742,104247,176240,95567.5,89448.5,151930,11957.7,1.34551
97039.9,95043,173220,75400.1,64827,149107,4236.25,1.34667
107770,97973.3,177071,80927.5,66239.3,151727,24817.3,1.353
117808,108860,194349,101420,86705.8,156640,25321.4,1.35578
98489.1,98671.1,175376,82762.1,75227.5,149396,19635.4,1.35787
