"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
103435,103337,193519,82694.8,73815.2,152704,5033.97,1.59206
103601,104897,185231,114091,99987.3,158136,266.074,1.60452
113150,108361,197655,100562,81914.6,161598,10367.6,1.60541
172313,131452,227383,183538,132887,182588,91611.3,1.6123
149519,148083,207703,129195,107548,165516,1039.43,1.61415
163550,129422,222717,132979,98527.1,176869,7441.49,1.61497
80328.8,89195.5,162708,81277.7,82842.9,144793,55259.1,1.61969
98915.5,102881,186834,89521.6,85751.1,151414,13792.9,1.62368
152044,141277,217372,149556,123240,168918,50458.2,1.62462
127265,119013,206036,113286,81306.4,173430,1346.42,1.63093
129254,109387,204133,119215,96774.9,167772,27506.5,1.63551
88146,97518.4,175239,82731.3,76639.2,148503,575.783,1.63706
74317.6,77736.7,167209,90885.2,86256.5,153389,6071.07,1.63811
101860,99378.9,185864,82320.5,67918.2,158350,4553.99,1.63975
122646,114260,204421,119645,95712.3,169887,3080.19,1.64179
129813,121267,205512,111769,94347.8,159411,16512.1,1.64687
176056,137021,225534,148497,101817,180487,22250.1,1.65008
123065,104617,203440,124482,91913.1,176970,25035.2,1.65691
97240.4,97676.9,174824,125107,115854,159592,4417.91,1.6755
119082,116293,199505,125759,103817,161835,4910.67,1.68367
80716.2,88704.1,170692,60830,60391.2,144418,2733.46,1.6844
117146,117537,189905,100328,87899.4,158027,821.542,1.68708
147720,146178,206415,132686,108471,164838,28409.6,1.69564
98351.9,101946,186732,89355.8,86515.9,148647,6520.31,1.70237
92232.7,93981.8,183999,69031.6,63509.8,141402,8504.83,1.70453
91518.1,93870.5,182023,71935.1,66659.5,145553,3238.89,1.70532
176779,138209,223718,156414,114526,179347,28597.2,1.70588
134404,132698,206858,103600,92553.2,158190,3771.1,1.70914
130075,133641,199431,114415,102268,158014,5324.3,1.71037
131619,124319,209444,136225,103926,172806,3815.67,1.7132
89925.9,94120.1,185672,68819.4,62520.8,145992,7030.57,1.71756
176927,151419,218409,153649,112734,180522,31356.8,1.71944
89179.8,88352.1,175524,80115.1,71059.8,152470,6923.94,1.72054
112154,98995.3,209930,83826.6,63888.7,158973,2356.53,1.7226
68262.4,68486,159498,72213.9,67228.8,148413,2429.8,1.72757
116854,118047,199237,95764.2,84809.3,153085,16627.7,1.73176
112619,119186,189978,138910,120498,166472,11332.8,1.73605
169136,144643,216661,165501,130389,176660,69749.6,1.73711
161763,146147,223089,153463,119999,173006,25163.6,1.73902
90166,84198.3,177136,97794,84864.2,157989,5303.55,1.74382
139593,127265,204346,142386,108417,175145,11588.8,1.74533
91585.1,93220.3,177190,87572.9,77655.6,153241,4949.7,1.74813
103306,107786,196337,88142,79600.1,155028,2563.3,1.75153
147644,133295,218362,109127,87586.4,162876,4316.94,1.75622
168998,147640,216827,167081,118140,179274,29812.8,1.75769
102209,99586,184078,83764.8,78175.3,151296,9256.18,1.76047
129115,118194,205948,124017,88803.6,170548,12208.6,1.7646
160354,131421,208286,180644,133964,182018,28342,1.76682
127608,113354,203118,128807,99863.8,172865,704.119,1.76914
116398,119095,194487,78920.8,68298.9,151979,1089.92,1.77154
134210,129621,196937,149548,135995,164839,10233.8,1.77272
124771,117520,204194,104107,83162,161855,4374.21,1.78483
118203,116275,191633,93760,76658.4,159267,4948.08,1.8038
88637.9,96389.7,176785,63737.8,60895.5,145913,12201.7,1.80711
92189.8,93234,173097,92216.2,81445.6,157736,2173.26,1.80777
142528,119846,213021,129452,104866,169345,19349.6,1.82024
106149,116380,181394,101941,95087.2,155878,3990.83,1.82141
106230,110441,182945,101763,90548.1,158576,12070.9,1.82603
116585,110330,199595,108425,93961.3,159744,16504.8,1.82624
152164,134641,210122,132479,104428,172493,9500.9,1.83208
142672,128625,210499,126762,97956.3,173213,2931.9,1.84018
115595,104592,203876,102197,83014.2,166119,49786.2,1.84936
121948,107159,197243,113846,95406.8,162996,2361.2,1.85099
97082.9,102288,189773,88568,83722.5,150469,4573.61,1.85205
164641,127058,223916,155026,114929,187316,3043.49,1.85766
110855,109841,187063,114237,96157.7,164105,16493.8,1.86452
107802,112440,190217,99579,90387.3,153083,991.99,1.86487
80550.1,80832.6,169261,82300.5,70213.7,152743,10327.7,1.87392
163538,141769,217400,153144,117551,176362,26632.5,1.87947
121616,113157,193110,114724,91836,165088,2669.15,1.89169
85822.3,89626.9,171561,82708.2,73724.3,152128,16556.2,1.8918
107930,110638,185709,88754.3,83254.1,151961,8526.28,1.90524
102586,110535,193910,74853.3,69860,144989,1825.82,1.9081
84552.7,89698.2,163462,69209.3,64572,148530,5066.96,1.91209
172702,150543,217670,148254,106022,176996,15156.6,1.92371
159314,134550,220515,142479,109458,174980,21597.6,1.92694
72792,74410.7,162336,65412.1,65111.5,142271,12518.5,1.93039
128970,131270,199272,98591.3,84309.5,159265,17826.2,1.93093
