"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
98081.8,103914,182523,61185.8,62705.7,137613,36475.5,2.81871
89507.3,95830.2,169871,61303.5,66112.5,138889,64067.3,2.82236
102758,99816.8,187690,98393.7,96335.3,152771,38056.7,2.82781
98073.5,100660,182611,82815.4,84554.7,147368,69237.4,2.82846
86225.1,92873.8,168206,69962.3,72879.8,143486,36949.6,2.83149
125403,128649,192501,75737,77610.7,146563,57721.7,2.83777
67937.4,72881.4,155311,52917,57985.7,132215,24690.4,2.84038
106420,111272,179661,75097.9,79086.1,144680,43390.6,2.84442
95499.2,97345.1,168438,68741.2,67720.3,144767,54360.2,2.84557
94445.8,102207,175450,58040.8,63379.1,139265,25976.6,2.84603
94638.6,103691,179276,75052.4,85226.6,142931,44918.5,2.85451
104774,107586,190309,49647,54066.2,131606,50802.9,2.85922
88007.8,93668.6,169673,54636.9,56398.7,141454,36104.6,2.86227
138082,137181,193649,101143,106151,148866,73258.4,2.87334
83955.8,89749.3,163703,50272.2,51683.3,135215,21684.4,2.87709
117889,107766,194170,89412.9,84957.8,155215,50102.4,2.87946
79036.9,86678.2,160113,57148,62413.9,135259,38899.9,2.88057
135360,132258,204473,89000.7,84257.5,152968,106353,2.88478
88222.3,95292.8,168164,72469.2,77896.9,143527,29292.1,2.89031
105778,99639.1,179954,122085,119138,158401,85203.9,2.8915
93389.4,98451.8,183901,51995.4,55175.1,136537,36043.3,2.89846
76261.7,80575.5,166386,49550.1,52012,137947,34780.6,2.90348
95060.5,100136,180366,66645.4,71097.7,140437,28851.5,2.92473
106087,103285,186675,127308,123956,155589,105804,2.93539
106478,96093.8,192249,112188,109288,154765,130902,2.9469
96321.8,93313.3,178950,95863.2,98766.3,150806,68028.5,2.94763
72534.5,75051,162434,75227.6,86645.7,141013,50148.8,2.94765
108865,108965,183403,89694.6,86468.6,152406,49849.6,2.95005
118040,119447,187559,61860.5,62082.5,144507,69885.4,2.95623
131036,130336,200131,76307.6,73122.9,151072,39945.8,2.95847
99880.5,97347.8,181786,114263,114676,155663,119000,2.97075
87802.1,93813.8,175966,56478.5,58058.7,134834,39955.8,2.97583
121916,113819,199593,99365.5,91363.3,155897,118315,2.98117
139875,126040,200501,107070,94476.4,160741,159219,2.98692
99914.2,100072,182840,84589.1,78764.3,152174,42342.9,2.98914
76792.7,84388.7,159772,61514.8,67094.7,140362,41364.2,2.98916
68254.7,73418.5,160307,54982.8,60787.5,130336,29921.8,2.99375
77097.3,83841.3,158106,71047.7,75907.1,144643,40429.8,2.99559
109560,108111,183251,78399,73635.9,151155,48427.2,3.00432
96171.7,93934.9,183998,106024,115606,154780,62578.5,3.00679
84724.1,89710.9,176347,56498.2,62638.2,134464,36974.5,3.01152
90554.7,95397.7,171790,54027.3,55570.2,137956,29302.8,3.015
92091.8,95703.6,176554,61774.8,65453.3,136370,21837.2,3.01625
89033.7,96048.1,175119,89142.4,95112.4,145493,53674.6,3.03437
84088.4,89648.5,171569,58814,61695.1,140751,28505.8,3.03481
112761,109473,190698,71932.9,68986.1,146405,47548.1,3.04302
78958.9,83002.7,159484,47664.6,50478.6,136165,20092.7,3.05683
99285.2,99721.2,179696,103708,93581.5,157372,82440.8,3.05975
135554,131276,199414,91406.6,88904.8,151910,72645.5,3.06102
73787.5,80221.2,162561,70119.3,80680.4,137638,35868,3.07161
132976,128655,199648,103355,99265.4,155364,80981.5,3.07259
115381,117819,189646,66086.3,66587.3,142100,106540,3.08334
88496.3,97622.5,173059,79402.2,89470.5,141405,26079.2,3.10009
