"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
85044.2,86559.5,175332,73718.2,67149.7,148729,9.15551,4.10136
109913,107892,197417,121731,92883.8,168359,10.6448,4.12004
135043,107971,212660,136079,101865,172858,25.355,4.12997
96508.8,87116.7,186616,87850.6,74286.1,159933,12.2291,4.15114
124635,124740,198669,122308,106457,161406,21.7435,4.16029
90691.8,93579.5,175741,68534.2,66222.9,141306,-1.95774,4.16878
128919,116714,207921,113408,92900.1,167798,13.3637,4.17272
121586,94028.5,201349,115387,93607.2,159570,85.3706,4.1744
132601,123330,204022,113523,93850.7,162860,21.1439,4.17498
114161,101848,193206,97578.6,78521.8,168419,43.7182,4.17511
82161.6,90439.7,175667,71104.6,70745,145668,17.3769,4.20588
133036,123557,210330,111713,89001.5,164772,2.21771,4.22493
103604,103766,193023,93458.7,77649.2,159500,34.4399,4.22862
124721,112277,202884,98305.3,85713.2,159202,24.1948,4.23006
145235,123417,215389,129562,97202.8,173312,8.25498,4.263
126368,117581,200447,98439.6,85630.2,158179,46.3134,4.28093
108104,89588,202655,150976,113749,172556,21.9281,4.30362
101403,100556,182650,79194.8,72407.7,152500,23.2222,4.30709
128019,119080,207617,104844,85788.1,161897,70.6049,4.31012
118541,114346,197727,110216,92259.2,162141,-11.4548,4.31313
83017.4,89068.8,175805,111184,105624,152021,4.5793,4.31652
146164,136963,206593,142442,116502,169970,51.3429,4.32982
153373,138223,213954,139453,113554,170704,111.814,4.33814
62451.5,68475.5,158853,48960.9,47740.1,133274,-7.20614,4.34732
78256,86019.5,172875,71084.7,71362,144641,1.59575,4.34977
84550,85549.5,172653,57853.9,55934.8,141252,40.2753,4.35887
100375,106878,189829,70656.5,67575.3,146985,10.1931,4.35914
80097.2,87139.6,164726,65328.8,66038.1,139086,30.3946,4.39089
167635,139019,217693,167914,121959,179189,44.2459,4.39823
78649.1,84715.4,162076,76766.4,75502.5,146885,11.6401,4.40806
91345.2,98166.3,184213,75137.3,70934.2,144404,23.176,4.41675
131828,117809,203096,122849,95277.6,167795,25.0299,4.41881
173233,144961,230178,113904,93612.9,167405,38.0386,4.42162
95345.4,95883.5,186682,75625.4,72794.8,147731,9.33581,4.44502
100822,103111,188790,81859.8,73403.9,151293,18.0182,4.45149
179446,147252,226391,151454,102351,179187,48.1946,4.47892
109584,109789,192116,104891,91883.8,155660,37.2792,4.49807
139018,126999,211263,172606,132353,181278,42.8077,4.53803
111187,114401,191761,89988.4,78708.5,157967,-12.0797,4.54972
178465,153184,220492,151425,113842,173164,49.0648,4.57171
79921.8,85299.9,164845,88281.9,86131.6,148991,-1.66616,4.58162
88716.3,92939.9,179830,66399.4,63355.6,145192,17.9724,4.6164
100065,110640,178906,109247,104380,153051,49.8864,4.63228
136086,135628,203236,114192,103636,157510,24.6586,4.63603
122239,118395,200731,112637,102354,160301,35.7632,4.64374
156392,138887,213188,150544,125063,170067,22.5286,4.66031
122436,108901,207615,93946.9,72988.7,165959,1.01891,4.66869
142014,126689,212971,131714,106943,170793,41.9943,4.6725
109094,98771.8,201296,125764,94919.5,171930,16.1424,4.69336
