"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
78205.4,84543.9,164928,76405.4,84819.9,144690,53972.6,9.12885
97863.4,102027,175348,90411.6,92583.8,148623,82512.3,9.13376
87267.3,86277.7,172741,53363,59380.8,135154,75265.1,9.13922
101290,107731,180506,69741.5,72807.7,142157,92918.9,9.26923
132367,126585,199737,86064.7,83159.5,148938,126199,9.27078
85913.9,94292.7,167560,76966,83812.4,141476,68594.5,9.28346
72787.7,72335.1,161617,67926.5,69921.9,143761,29413.6,9.33888
90785.5,96091.8,175977,74673.8,82022.4,140359,54270.1,9.3566
81773,87130.4,171602,62107.8,68898.2,138964,33573.6,9.37972
81044.9,87936.8,170490,51990,57282.1,135921,50747.9,9.41786
81319.1,85344.8,169275,57254.9,60902.3,139259,38296.4,9.43014
81424.6,89451.2,159069,73235.8,81429.4,140923,40359.5,9.44147
105365,110966,180649,70319.7,70466.3,144652,68223.3,9.44307
76513.5,83991.4,159745,50858,54916.5,136207,39061.8,9.48738
126928,117373,196102,87822.6,78954.8,158284,89165.7,9.50117
70714.8,76888.1,163525,60756.5,71397.2,138512,37995.9,9.50477
